Genus
Gaultheria
Gaylussacia
Gelsemium
Gentiana
Geranium
Geum
Gillenia
Gladiolus
Glandularia
Glebionis
Glechoma
Gleditsia
Glochidion
Glyceria
Glycine
Gomphrena
Gonolobus
Goodyera
Gordonia
Gossypium
Gratiola
Grindelia
Guizotia
Gymnocladus
Gymnopogon
Gynandropsis
Gypsophila
Habenaria
Habranthus
Hackelia
Hackelochloa
Halesia
Halodule
Hamamelis
Harperella
Hedeoma
Hedera
Hedychium
Helanthium
Helenium
Helianthus
Heliopsis
Heliotropium
Hemerocallis
Hemiscola
Hesperis
Heteranthera
Heteropogon
Heterotheca
Heuchera
Hexalectris
Hexastylis
Hibiscus
Hieracium
Holcus
Holosteum
Hordeum
Hottonia
Houstonia
Houttuynia
Humulus
Huperzia
Hybanthus
Hydrangea
Hydrastis
Hydrilla
Hydrocotyle
Hydrolea
Hydrophyllum
Hygrophila
Hylodesmum
Hylotelephium
Hymenocallis
Hymenopappus
Hymenophyllum
Hymenoxys
Hypericum
Hypochaeris
Hypolepis
Hypopitys
Hypoxis
Hyptis
Ilex
Illicium
Impatiens
Imperata
Indigofera
Iodanthus
Ionactis
Ipomoea
Ipomopsis
Iresine
Iris
Isoetes
Isolepis
Isotrema
Isotria
Itea
Iva
Jaborosa
Jacquemontia
Jamesianthus
Jasminum
Jeffersonia
Juglans
Juncus
Juniperus
Justicia
Kallstroemia
Kalmia
Kerria
Kickxia
Koelreuteria
Kolkwitzia
Kosteletzkya
Krigia
Kummerowia
Kyllinga
Lachnanthes
Lachnocaulon
Lackeya
Lactuca
Laennecia
Lagenaria
Lagerstroemia
Lamiastrum
Lamium
Lantana
Laportea
Lathyrus
Leavenworthia
Lechea
Leersia
Lemna
Leonotis
Leonurus
Lepidium
Leptochloa
Lepuropetalon
Lespedeza
Leucanthemum
Leucojum
Leucospora
Leucothoe
Liatris
Licania
Ligusticum
Ligustrum
Lilaeopsis
Lilium
Limnobium
Limnodea
Limnosciadium
Limonium
Linaria
Lindera
Lindernia
Linum
Liparis
Lipocarpha
Liquidambar
Liriodendron
Liriope
Listera
Lithospermum
Lobelia
Lobularia
Lolium
Lonicera
Lophiola
Lotus
Ludwigia
Lunaria
Lupinus
Luziola
Luzula
Lycium
Lycopodiella
Lycopus
Lycoris
Lygodesmia
Lygodium
Lyonia
Lysimachia
Lythrum
Maclura
Macranthera
Macroptilium
Macrothelypteris
Magnolia
Mahonia
Maianthemum
Malaxis
Malus
Malva
Malvastrum
Malvaviscus
Manfreda
Manihot
Marrubium
Marshallia
Marsilea
Matelea
Matricaria
Mayaca
Mazus
Mecardonia
Medeola
Medicago
Megathyrsus
Melampodium
Melanthera
Melia
Melica
Melilotus
Melinis
Melissa
Melochia
Melothria
Menispermum
Mentha
Mercurialis
Merremia
Mertensia
Micranthemum
Micranthes
Microstegium
Mikania
Mimosa
Mimulus
Minuartia
Mirabilis
Miscanthus
Mitchella
Mitella
Mitracarpus
Mitreola
Modiola
Mollugo
Momordica
Monarda
Monotropa
Monotropsis
Morella
Morus
Mosla
Muhlenbergia
Murdannia
Musa
Muscadinia
Muscari
Myosotis
Myosurus
Myriophyllum
Nabalus
Najas
Nama
Nandina
Narcissus
Nassella
Nasturtium
Neeragrostis
Nelumbo
Nemastylis
Nemophila
Nepeta
Nephrolepis
Neptunia
Nerium
Nestronia
Neviusia
Nicandra
Nicotiana
Nothoscordum
Nuphar
Nuttallanthus
Nymphaea
Nymphoides
Nyssa
Obolaria
Oclemena
Oenothera
Oldenlandia
Onoclea
Onopordum
Ophioglossum
Ophiopogon
Oplismenus
Opuntia
Orbexilum
Ornithogalum
Orobanche
Orontium
Osmorhiza
Osmunda
Osmundastrum
Ostrya
Oxalis
Oxycaryum
Oxydendrum
Oxypolis
Pachysandra
Packera
Palhinhaea
Panax
Panicum
Papaver
Parapholis
Parathelypteris
Parentucellia
Parietaria
Parkinsonia
Parnassia
Paronychia
Parthenium
Parthenocissus
Pascalia
Paspalum
Passiflora
Paulownia
Paysonia
Pectis
Pedicularis
Pediomelum
Pellaea
Peltandra
Pennisetum
Penstemon
Penthorum
Perideridia
Perilla
Persea
Persicaria
Petrorhagia
Petunia
Phacelia
Phalaris
Phanopyrum
Phaseolus
Phegopteris
Phemeranthus
Philadelphus
Phlebodium
Phleum
Phlox
Phoebanthus
Phoradendron
Photinia
Phragmites
Phryma
Phyla
Phyllanthopsis
Phyllanthus
Phyllostachys
Physalis
Physocarpus
Physostegia
Phytolacca
Picris
Pieris
Pilea
Pilularia
Pinguicula
Pinus
Piptochaetium
Piriqueta
Pistia
Pisum
Pittosporum
Pityopsis
Planera
Planodes
Plantago
Platanthera
Platanus
Platycladus
Plectocephalus
Pleea
Pleopeltis
Pluchea
Poa
Podocarpus
Podophyllum
Podostemum
Pogonia
Polanisia
Polemonium
Polycarpon
Polygala
Polygonatum
Polygonum
Polymnia
Polypodium
Polypogon
Polypremum
Polystichum
Polytaenia
Pontederia
Ponthieva
Populus
Portulaca
Potamogeton
Potentilla
Proboscidea
Prosartes
Proserpinaca
Prunella
Prunus
Pseudognaphalium
Pseudolycopodiella
Psilotum
Ptelea
Pteridium
Pteris
Pterocaulon
Pteroglossaspis
Ptilimnium
Pueraria
Punica
Pycnanthemum
Pyracantha
Pyrrhopappus
Pyrularia
Pyrus
Quercus
Ranunculus
Raphanus
Ratibida
Reseda
Reynoutria
Rhamnus
Rhapidophyllum
Rhexia
Rhododendron
Rhodotypos
Rhus
Rhynchosia
Rhynchospora
Ribes
Richardia
Ricinus
Robinia
Rorippa
Rosa
Rostraria
Rotala
Rottboellia
Rubus
Rudbeckia
Ruellia
Rumex
Ruppia
Sabal
Sabatia
Saccharum
Sacciolepis
Sageretia
Sagina
Sagittaria
Salicornia
Salix
Salpichroa
Salsola
Salvia
Salvinia
Sambucus
Samolus
Sanguinaria
Sanicula
Sapindus
Saponaria
Sarcocornia
Sarracenia
Sassafras
Saururus
Scandix
Sceptridium
Schedonorus
Schinus
Schisandra
Schizachyrium
Schoenolirion
Schoenoplectus
Schwalbea
Scirpus
Scleranthus
Scleria
Sclerolepis
Scoparia
Scrophularia
Scutellaria
Secale
Securigera
Sedum
Selaginella
Senecio
Senna
Serenoa
Sericocarpus
Sesamum
Sesbania
Sesuvium
Setaria
Seutera
Seymeria
Shortia
Sicyos
Sida
Sideroxylon
Silene
Silphium
Silybum
Sinapis
Sisymbrium
Sisyrinchium
Sium
Smallanthus
Smilax
Smyrnium
Solanum
Solidago
Soliva
Sonchus
Sophronanthe
Sorghastrum
Sorghum
Sparganium
Spartina
Spergula
Spergularia
Spermacoce
Spermolepis
Sphagneticola
Sphenoclea
Sphenopholis
Spigelia
Spiraea
Spiranthes
Spirodela
Sporobolus
Stachys
Stachytarpheta
Staphylea
Stegnogramma
Steinchisma
Stellaria
Stenanthium
Stenotaphrum
Stewartia
Stillingia
Stipulicida
Stokesia
Strophostyles
Stuckenia
Stylisma
Stylophorum
Stylosanthes
Styrax
Suaeda
Symphoricarpos
Symphyotrichum
Symplocos
Synandra
Syngonanthus
Taenidia
Tagetes
Talinum
Tanacetum
Taraxacum
Tarenaya
Taxodium
Tephrosia
Ternstroemia
Tetragonotheca
Tetrapanax
Teucrium
Thalassia
Thalia
Thalictrum
Thaspium
Thelesperma
Thelypteris
Thermopsis
Thlaspi
Thunbergia
Thymelaea
Thymophylla
Tiarella
Tilia
Tillandsia
Tipularia
Torilis
Toxicodendron
Trachelospermum
Tradescantia
Tragia
Tragopogon
Trautvetteria
Trepocarpus
Triadenum
Triadica
Triantha
Trianthema
Tribulus
Trichostema
Tridens
Trifolium
Triglochin
Trilisa
Trillium
Triodanis
Triosteum
Triphora
Triplasis
Tripleurospermum
Tripsacum
Trisetum
Tristagma
Triticum
Triumfetta
Tsuga
Tulipa
Typha
Ulmus
Uniola
Urena
Urochloa
Urtica
Utricularia
Uvularia
Vaccaria
Vaccinium
Vachellia
Valeriana
Valerianella
Vallisneria
Vandenboschia
Veratrum
Verbascum
Verbena
Verbesina
Vernicia
Vernonia
Veronica
Veronicastrum
Viburnum
Vicia
Vigna
Vinca
Viola
Vitex
Vitis
Vittaria
Vulpia
Wahlenbergia
Waltheria
Warea
Wisteria
Wolffia
Wolffiella
Woodsia
Woodwardia
Xanthium
Xanthorhiza
Xanthosoma
Xerophyllum
Xyris
Yeatesia
Youngia
Yucca
Zannichellia
Zanthoxylum
Zea
Zephyranthes
Zeuxine
Zigadenus
Zinnia
Zizania
Zizaniopsis
Zizia
Ziziphus
Zornia
Zoysia
